zip,market,tier,state,lat,lng
80860,"Non-compliant",nc,CO,38.7100,-105.1400
36858,"Non-compliant",nc,AL,32.2845,-85.3029
61328,"Out of Coverage",ooc,IL,41.5050,-89.4634
71841,"Non-compliant",nc,AR,34.1570,-94.3165
37665,"Out of Coverage",ooc,TN,36.5799,-82.5733
05667,"Non-compliant",nc,VT,44.2622,-72.4224
75661,"Out of Coverage",ooc,TX,32.6205,-94.2001
64076,"Non-compliant",nc,MO,38.9829,-93.9757
37688,"Out of Coverage",ooc,TN,36.5272,-81.9068
08605,"Out of Coverage",ooc,NJ,40.2805,-74.7120
96765,"Non-compliant",nc,HI,21.9309,-159.4993
45169,"Out of Coverage",ooc,OH,39.4900,-83.6503
66040,"Non-compliant",nc,KS,39.0478,-95.1538
67733,"Non-compliant",nc,KS,39.3579,-101.5210
45778,"Out of Coverage",ooc,OH,39.3213,-81.8929
25358,"Non-compliant",nc,WV,38.2968,-81.5547
83811,"Non-compliant",nc,ID,48.1405,-116.1699
82050,"Non-compliant",nc,WY,41.4342,-104.1505
01236,"Non-compliant",nc,MA,42.2653,-73.3745
20110,"Non-compliant",nc,VA,38.7492,-77.4878
55011,"Non-compliant",nc,MN,45.3414,-93.2350
45654,"Out of Coverage",ooc,OH,39.3884,-82.3892
39325,"Non-compliant",nc,MS,32.5643,-88.8750
58488,"Non-compliant",nc,ND,47.1626,-99.9873
41085,"Out of Coverage",ooc,KY,39.0343,-84.3908
33820,"Out of Coverage",ooc,FL,28.0026,-81.6186
59248,"Non-compliant",nc,MT,48.1322,-106.3564
