zip,market,tier,state,lat,lng
58254,"Non-compliant",nc,ND,47.7639,-98.1773
88031,"Non-compliant",nc,NM,32.2398,-107.7404
06351,"Out of Coverage",ooc,CT,41.6052,-71.9808
74084,"Non-compliant",nc,OK,36.5462,-96.3272
67566,"Non-compliant",nc,KS,37.9671,-98.0798
99638,"Non-compliant",nc,AK,52.9381,-168.8678
24121,"Non-compliant",nc,VA,37.1784,-79.6521
48502,"Non-compliant",nc,MI,43.0151,-83.6948
16116,"Non-compliant",nc,PA,41.0276,-80.4632
48506,"Non-compliant",nc,MI,43.0653,-83.6310
37032,"Out of Coverage",ooc,TN,36.5514,-86.9992
15520,"Non-compliant",nc,PA,40.1104,-79.0689
67122,"Non-compliant",nc,KS,37.6372,-96.3695
36571,"Non-compliant",nc,AL,30.8332,-88.0934
34289,"Out of Coverage",ooc,FL,27.0808,-82.1516
20685,"Non-compliant",nc,MD,38.4501,-76.5110
72704,"Non-compliant",nc,AR,36.0877,-94.3093
32133,"Out of Coverage",ooc,FL,29.0088,-81.9094
29223,"Out of Coverage",ooc,SC,34.0853,-80.9167
33539,"Out of Coverage",ooc,FL,28.2130,-82.1657
43160,"Out of Coverage",ooc,OH,39.5370,-83.4550
62557,"Out of Coverage",ooc,IL,39.3971,-89.1048
18831,"Non-compliant",nc,PA,41.8966,-76.5328
03845,"Non-compliant",nc,NH,44.0955,-71.1194
57730,"Non-compliant",nc,SD,43.6573,-103.4258
13420,"Non-compliant",nc,NY,43.7435,-74.8935
59746,"Non-compliant",nc,MT,45.3696,-113.1195
34433,"Out of Coverage",ooc,FL,28.9949,-82.5196
15272,"Non-compliant",nc,PA,40.4344,-80.0248
28681,"Out of Coverage",ooc,NC,35.9010,-81.2124
45896,"Out of Coverage",ooc,OH,40.6072,-83.9585
27101,"Out of Coverage",ooc,NC,36.1024,-80.2228
29518,"Out of Coverage",ooc,SC,33.7886,-79.8480
73753,"Non-compliant",nc,OK,36.5207,-97.8542
08033,"Out of Coverage",ooc,NJ,39.8954,-75.0417
45697,"Out of Coverage",ooc,OH,38.9353,-83.6661
73401,"Non-compliant",nc,OK,34.1566,-97.1792
47405,"Non-compliant",nc,IN,39.1682,-86.5186
62685,"Out of Coverage",ooc,IL,39.1952,-89.9607
88063,"Non-compliant",nc,NM,31.8186,-106.5997
37340,"Out of Coverage",ooc,TN,35.0178,-85.5116
68070,"Non-compliant",nc,NE,41.1811,-96.7691
62215,"Out of Coverage",ooc,IL,38.5320,-89.6202
32908,"Out of Coverage",ooc,FL,27.9816,-80.6894
89426,"Out of Coverage",ooc,NV,41.5057,-117.5728
25140,"Non-compliant",nc,WV,37.8676,-81.4873
71958,"Non-compliant",nc,AR,34.1017,-93.7109
72417,"Non-compliant",nc,AR,35.9165,-90.5762
80101,"Non-compliant",nc,CO,39.4203,-103.9846
54904,"Non-compliant",nc,WI,44.0304,-88.6070
68413,"Non-compliant",nc,NE,40.8330,-95.9930
71740,"Non-compliant",nc,AR,33.0891,-93.1987
57374,"Non-compliant",nc,SD,43.7557,-97.5936
06520,"Out of Coverage",ooc,CT,41.3082,-72.9282
54857,"Non-compliant",nc,WI,45.5919,-91.6013
16901,"Non-compliant",nc,PA,41.7373,-77.3080
38390,"Out of Coverage",ooc,TN,35.8680,-88.3819
24520,"Non-compliant",nc,VA,36.5894,-79.0202
41812,"Out of Coverage",ooc,KY,37.2409,-82.7696
57661,"Non-compliant",nc,SD,45.2705,-100.8865
71434,"Non-compliant",nc,LA,31.4330,-92.9435
36114,"Non-compliant",nc,AL,32.4040,-86.2539
80305,"Non-compliant",nc,CO,39.9807,-105.2531
38849,"Non-compliant",nc,MS,34.4563,-88.6975
